95.209.145.252,瑞典,DK,Devices: Moxa Devices  Server Name: OnCell_G3110-HSDPA_5099
37.192.142.9,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_2247
163.13.117.54,台湾省淡江大学,TW,Moxa Nport Devices Status: Fixed  Server Name: NP5130_220
175.182.78.126,台湾省新世纪资通股份有限公司,TW,Devices: Moxa Devices  Server Name: 192.168.3.251
178.149.43.234,塞尔维亚,RS,Moxa Nport Devices Status: Fixed  Server Name: NP6150_103
217.168.182.173,阿塞拜疆,AZ,Devices: Moxa Devices  Server Name: OnCell_G3151_1729
159.255.28.66,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NP5110_8939
31.132.157.111,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_7699
138.188.48.228,瑞士,CH,Moxa Nport Devices Status: Lock Fixed  Server Name: Buechelring
67.41.1.198,美国犹他州盐湖城,US,Moxa Nport Devices Status: Fixed  Server Name: NP5110_2146
212.86.249.20,乌克兰基辅,UA,Moxa Nport Devices Status: Fixed  Server Name: NP5110_1376
77.221.194.22,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: Mira50-Omsk
80.58.146.182,西班牙,ES,Moxa Nport Devices Status: Fixed  Server Name: NP5210_255
213.150.86.214,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NP5110_4613
37.195.90.131,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4110S_7762
88.26.235.67,西班牙,ES,Moxa Nport Devices Status: Fixed  Server Name: NP5110_809
37.157.71.81,爱沙尼亚,EE,Devices: Moxa Devices  Server Name: OnCell_G3151-HSPA_HINNATORN
46.77.67.86,波兰,PL,Moxa Nport Devices Status: Lock Fixed  Server Name: 33WE_006B
178.49.86.246,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4110S_7759
42.64.210.255,台湾省,TW,Moxa Nport Devices Status: Fixed  Server Name: PV 15
109.56.254.246,瑞典,DK,Devices: Moxa Devices  Server Name: MOXA12_G3110-HSPA_2703
91.192.96.104,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_7051
31.61.124.65,波兰,PL,Devices: Moxa Devices  Server Name: OnCell_G3151_5809
140.112.20.193,台湾大学电机系所,TW,Devices: Moxa Devices  Server Name: NE-4100T_7794
97.68.3.107,美国,US,Moxa Nport Devices Status: Fixed  Server Name: NP5150A_6586
95.209.153.13,瑞典,DK,Moxa Nport Devices Status: Fixed  Server Name: NP5110_3714
42.65.175.91,台湾省,TW,Devices: Moxa Devices  Server Name: OnCell_G3111_585
166.143.242.206,美国,US,Moxa Nport Devices Status: Lock Fixed  Server Name: NP6150_4322
188.94.226.69,俄罗斯,RU,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5230_1556
77.95.16.14,塞浦路斯,CY,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5410_8436
184.151.44.252,加拿大,CA,Moxa Nport Devices Status: Lock Fixed  Server Name: WatHeiOC
95.78.125.85,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NP5150_1062
37.28.189.20,俄罗斯,RU,Devices: Moxa Devices  Server Name: OnCell_G3151_5563
163.13.177.239,台湾省淡江大学,TW,Moxa Nport Devices Status: Fixed  Server Name: NP5130_3932
208.123.131.248,美国,US,Devices: Moxa Devices  Server Name: Manzanola_Moxa
166.210.64.238,美国,US,Devices: Moxa Devices  Server Name: OnCell_G3151_7692
195.68.136.106,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NP5110_8084
178.149.96.241,塞尔维亚,RS,Moxa Nport Devices Status: Fixed  Server Name: NP6150_103
117.56.152.99,台湾省,TW,Devices: Moxa Devices  Server Name: MiiNePort_E1_7777
217.15.205.139,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4110S_3290
123.209.221.226,澳大利亚,AU,Devices: Moxa Devices  Server Name: OnCell_G3111-HSPA_3306
141.223.53.33,韩国浦项工科大学,KR,Devices: Moxa Devices  Server Name: EnetherNet_to_Serial-BL1D
212.50.58.238,土耳其,TR,Moxa Nport Devices Status: Fixed  Server Name: NP5150A_5582
212.169.105.26,挪威,NO,Moxa Nport Devices Status: Lock Fixed  Server Name: HansaBorg
77.211.23.36,西班牙,ES,Devices: Moxa Devices  Server Name: Sabinanigo_Presa_OnCell_G3150_HSDPA
74.189.64.139,美国佐治亚州亚特兰大市BellSouth公司,US,Devices: Moxa Devices  Server Name: GPA AIS SAVANNAH
